id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
52574291,luxury Hotel Room Sauna Jacuzi & Bath,365211881,Riley,,Islington-City Centre West,43.61945,-79.54047,Private room,250,28,0,,,1,365,0,Exempt
52630104,Brand New Apartment / Private Entrance & Parking,191785986,Natasha,,Westminster-Branson,43.783714,-79.457359,Entire home/apt,103,28,40,2022-10-10,2.91,2,328,36,Exempt
52580079,Modern & Beautiful Entire house heart of Danforth,3226429,Fabien,,Woodbine Corridor,43.68416,-79.31722,Entire home/apt,150,30,0,,,1,339,0,
52630812,Spacious master bedroom,368195815,Bin,,Rexdale-Kipling,43.71516,-79.56552,Private room,165,2,0,,,4,365,0,STR-2012-GJSXVF
52581072,"Spacious Home, Quiet Neighbourhood, Close to UTSC",350350585,Veronika,,Guildwood,43.74929,-79.19955,Private room,100,28,4,2022-11-29,0.47,1,355,4,
52585216,My Upper Space Apartment,39657484,Amy,,East End-Danforth,43.69029,-79.30057,Entire home/apt,51,28,4,2022-09-30,0.34,1,80,4,
52630831,"Modern, spacious home in Beach neighborhood",4677450,Maggie,,The Beaches,43.67591,-79.28848,Entire home/apt,400,60,0,,,1,365,0,
52631758,1br apartment in Kensington Market--PLEASE READ AD,12315527,Cedric,,Kensington-Chinatown,43.65525,-79.40192,Entire home/apt,66,120,1,2022-04-19,0.13,1,94,1,
52585476,Heart of Entertainment District Full 2 Bed  2 Bath,59076064,John,,Waterfront Communities-The Island,43.64145,-79.40029,Entire home/apt,260,28,0,,,1,364,0,Exempt
52596416,Luxury Downtown Condo Welcomes You - Free Parking,225946341,Grigorii,,North St.James Town,43.66702,-79.37524,Entire home/apt,189,28,17,2022-11-20,3.40,1,355,17,STR-2208-HWQBHL
52632060,"Cheerful 3-Bedroom 5 beds, 2 storey detached",84775181,Thaya,,Agincourt North,43.81408,-79.26773,Private room,275,28,93,2022-11-13,7.28,2,147,85,STR-2111-JBSDVM
52597961,"Modern pop art inspired, quiet basement apartment",4373224,Rachael,,Annex,43.67387,-79.41103,Entire home/apt,180,2,49,2022-10-02,3.61,2,212,40,STR-2110-GVMHHH
52600257,New + Stylish Leslieville Beach Suite by Embiria,6472752,Stamatis,,Greenwood-Coxwell,43.66644,-79.3196,Private room,132,28,55,2022-12-04,4.15,1,155,45,STR-2110-HKZHHK
52632977,Large private bedroom in Queen West penthouse,41115941,Fayez,,Little Portugal,43.64238,-79.42321,Private room,138,3,49,2022-12-05,3.60,2,17,43,STR-2109-FHZHHB
52600501,"New, bright, comfy 2 bedrooms bsmt. Sep. entrance",425797025,Hossein,,Bayview Village,43.77303,-79.38628,Entire home/apt,155,28,31,2022-11-08,2.38,1,280,27,STR-2110-HTGHHL
52634146,"Scarborough East (Female tenant, Female guest) - B",25278998,KTC Property Management Ltd.,,Woburn,43.76255,-79.21225,Private room,45,31,4,2022-10-01,0.30,18,218,3,
52600675,Casa blanca #3 (2nd floor),177084561,Alice,,Bayview Woods-Steeles,43.80181,-79.38561,Private room,53,28,0,,,7,173,0,Str-2201-fgsdvb
52639706,Spacious and modern style 4 bedroom Villa,420410801,Jason,,Parkwoods-Donalda,43.75261,-79.33825,Entire home/apt,750,3,3,2021-12-27,0.21,1,365,1,STR-2110-GDJVHF
52600981,One Bedroom lower level apt coach house private.,208496728,Liz Or Sharm,,Dovercourt-Wallace Emerson-Junction,43.66774,-79.43975,Entire home/apt,125,28,0,,,4,78,0,
52601125,1 big room clean beatiful room A,310223515,Miwa,,Downsview-Roding-CFB,43.72614,-79.52114,Private room,47,30,0,,,4,364,0,
52645394,Spacious 1 BHK Home at great Location,62347989,Vijay Anand,,Henry Farm,43.77076,-79.34345,Entire home/apt,75,30,0,,,1,0,0,
52601362,Fully furnished luxury 2 BR/2 Bath near Eaton Ctr.,7830038,Deep,,Church-Yonge Corridor,43.65244,-79.37902,Entire home/apt,180,28,2,2022-06-30,0.15,1,98,1,
52608822,♡Comfortable 1-BR Condo in DT Toronto♡,785826,Sky View,,Bay Street Corridor,43.6572,-79.38683,Entire home/apt,163,30,0,,,135,84,0,
52647677,Lovely 1-bedroom condo with 2 full bathrooms,192713887,Tonye,,Little Portugal,43.64087,-79.42245,Entire home/apt,140,28,0,,,1,0,0,
52609211,♡Comfortable 1-BR Condo in DT Toronto♡,785826,Sky View,,Bay Street Corridor,43.65775,-79.38715,Entire home/apt,163,30,0,,,135,118,0,
52609500,♥Fully-Equipped 1-BR Condo in DT Toronto♥,785826,Sky View,,Bay Street Corridor,43.65731,-79.38552,Entire home/apt,146,30,0,,,135,81,0,
52651978,"1 Bedroom, in the heart of the Toronto's finest.",351752927,Leigh,,Waterfront Communities-The Island,43.64443,-79.40083,Entire home/apt,457,28,3,2022-08-19,0.47,1,0,3,STR-2111-FTJVHC
52609756,♥Fully-Equipped 1-BR Condo in DT Toronto♥,785826,Sky View,,Bay Street Corridor,43.65779,-79.38502,Entire home/apt,163,30,1,2022-01-21,0.09,135,84,1,
52652843,♡Comfortable Studio Condo in DT Toronto♡,785826,Sky View,,Waterfront Communities-The Island,43.64204,-79.38088,Entire home/apt,120,30,0,,,135,87,0,
52610026,Lovely 1BR Rental in Highly Desirable Annex,157953450,Yen,,Annex,43.67218,-79.41426,Entire home/apt,102,28,5,2022-10-13,0.48,7,84,5,
52653311,♡Comfortable 2-BR Condo in DT Toronto♡,785826,Sky View,,Waterfront Communities-The Island,43.6439,-79.38018,Entire home/apt,150,28,0,,,135,52,0,
52655218,Studio Condo in the Heart of Tourist District,426238212,Kirk,,Waterfront Communities-The Island,43.64083,-79.38264,Entire home/apt,112,30,6,2022-11-30,0.46,1,277,5,
52611861,Beaches Walk-Out with Kitchenette,11802276,Julie,,The Beaches,43.67189,-79.29926,Entire home/apt,60,28,8,2022-11-25,0.67,2,122,8,
52655679,Stylish Boutique 1 Bed Condo - Downtown Toronto,12742095,Emil & Sue,,Moss Park,43.6532,-79.37062,Entire home/apt,300,28,1,2022-11-23,1,12,240,1,
52658117,Cozy room 1/private room,164469834,Shilling,,Don Valley Village,43.77847,-79.35929,Private room,76,1,22,2022-10-14,1.58,6,280,9,STR-2109-GRHPHG
52615280,Entire Studio in Midtown Toronto,276321666,Can,,Mount Pleasant West,43.69961,-79.39031,Entire home/apt,211,5,0,,,1,6,0,STR-2207-GCKHHF
52658496,Quarantine Guesthouse,333900495,Cindy,,Kensington-Chinatown,43.65115,-79.40181,Entire home/apt,79,28,6,2022-07-30,0.61,1,293,6,STR-2011-FSWKVC
52616139,Cozy Private Room with FREE Parking near Airport,368531150,Liza,,West Humber-Clairville,43.73729,-79.59379,Private room,65,2,26,2022-10-03,1.84,2,58,20,STR-2109-HZCVHM
52658879,Mid-Town Toronto Upper Level 3-bedroom Unit,426056258,Sultana,,Clairlea-Birchmount,43.70731,-79.29386,Entire home/apt,249,2,14,2022-11-27,1.23,1,352,14,STR-2110-FFBPHB
52658908,✈︎Fully-Equipped 2-BR Condo in DT Toronto✈︎,785826,Sky View,,Waterfront Communities-The Island,43.64382,-79.38128,Entire home/apt,150,30,0,,,135,63,0,
52743303,✈︎Fully-Equipped 2-BR Condo in DT Toronto✈︎,785826,Sky View,,Waterfront Communities-The Island,43.6417,-79.38048,Entire home/apt,140,30,0,,,135,21,0,
52659049,✈︎Fully-Equipped 2-BR Condo in DT Toronto✈︎,785826,Sky View,,Waterfront Communities-The Island,43.6434,-79.38145,Entire home/apt,155,30,0,,,135,86,0,
52743397,♡Comfortable 2-BR Condo in DT Toronto♡,785826,Sky View,,Waterfront Communities-The Island,43.64086,-79.38212,Entire home/apt,133,30,0,,,135,63,0,
52743505,✈︎Centrally-Located 1-BR Condo in DT Toronto✈︎,785826,Sky View,,Waterfront Communities-The Island,43.6412,-79.38031,Entire home/apt,120,30,2,2022-01-30,0.17,135,90,2,
52659136,Cozy room 2/private room,164469834,Shilling,,Don Valley Village,43.77838,-79.36065,Private room,65,1,35,2022-11-21,2.52,6,280,20,STR-2109-GRHPHG
52659267,✈︎Fully-Equipped 2-BR Condo in DT Toronto✈︎,785826,Sky View,,Waterfront Communities-The Island,43.64268,-79.37956,Entire home/apt,162,30,1,2021-12-30,0.09,135,84,1,
